City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Provideniya,RU,2022-07-23 22:32:59,overcast clouds,64.3833,-173.3,46.27,77,96,6.8
103,Yerofey Pavlovich,RU,2022-07-23 22:33:00,clear sky,53.9667,121.9667,69.22,66,0,3.65
104,Sekoma,BW,2022-07-23 22:33:00,scattered clouds,-24.4,23.8833,60.12,43,27,7.83
105,Codrington,AU,2022-07-23 22:33:00,clear sky,-38.2667,141.9667,49.26,93,5,6.31
106,Oranjemund,NA,2022-07-23 22:33:01,clear sky,-28.55,16.4333,52.41,77,0,15.97
107,Port Alfred,ZA,2022-07-23 22:33:01,broken clouds,-33.5906,26.891,53.19,82,80,5.99
108,Hrubieszow,PL,2022-07-23 22:33:01,moderate rain,50.805,23.8925,65.59,92,98,11.18
109,Lagoa,PT,2022-07-23 22:26:40,few clouds,39.05,-27.9833,72.84,89,24,9.75
110,Esfarayen,IR,2022-07-23 22:33:02,clear sky,37.0765,57.5101,69.46,59,1,6.06
111,Normandin,CA,2022-07-23 22:33:02,broken clouds,48.8333,-72.5321,80.91,69,52,5.75
112,Upernavik,GL,2022-07-23 22:33:03,overcast clouds,72.7868,-56.1549,42.94,96,100,4.52
113,Mayfield Heights,US,2022-07-23 22:33:03,clear sky,41.5192,-81.4579,82.24,63,0,6.91
114,Coos Bay,US,2022-07-23 22:30:08,clear sky,43.3665,-124.2179,75.99,77,0,24.16
115,Coquimbo,CL,2022-07-23 22:33:03,overcast clouds,-29.9533,-71.3436,55.13,82,100,4.61
116,Tamiahua,MX,2022-07-23 22:24:02,clear sky,21.2667,-97.45,88.02,61,6,14.63
117,Astana,KZ,2022-07-23 22:27:50,clear sky,51.1801,71.446,66.15,55,0,4.47
118,Okhotsk,RU,2022-07-23 22:25:13,light rain,59.3833,143.3,58.44,94,100,10.0
119,Georgetown,MY,2022-07-23 22:28:05,scattered clouds,5.4112,100.3354,78.73,94,40,0.0
120,Kirakira,SB,2022-07-23 22:33:04,scattered clouds,-10.4544,161.9205,84.11,70,44,5.55
121,San Jose,US,2022-07-23 22:32:59,clear sky,37.3394,-121.895,91.69,42,0,12.66
122,Huilong,CN,2022-07-23 22:33:05,clear sky,31.8111,121.655,76.53,85,8,8.55
123,Ekibastuz,KZ,2022-07-23 22:33:05,scattered clouds,51.6667,75.3667,63.81,72,47,7.81
124,Nanae,JP,2022-07-23 22:33:05,broken clouds,41.8833,140.6833,71.83,83,75,10.36
125,Marawi,PH,2022-07-23 22:23:57,overcast clouds,7.9986,124.2928,68.81,92,90,2.86
126,Tecate,MX,2022-07-23 22:33:06,broken clouds,32.5667,-116.6333,95.58,43,68,8.19
127,Akdepe,TM,2022-07-23 22:33:06,clear sky,42.0551,59.3788,82.49,40,0,14.25
128,Trairi,BR,2022-07-23 22:31:34,scattered clouds,-3.2778,-39.2689,78.96,77,42,13.11
129,Teguise,ES,2022-07-23 22:29:06,overcast clouds,29.0605,-13.564,70.54,80,92,8.37
130,Kenai,US,2022-07-23 22:33:07,broken clouds,60.5544,-151.2583,63.03,59,75,4.61
131,Amapa,BR,2022-07-23 22:33:07,overcast clouds,1.0,-52.0,76.95,80,96,1.97
132,Ponta Delgada,PT,2022-07-23 22:33:08,overcast clouds,37.7333,-25.6667,71.1,88,100,2.89
133,Vilhena,BR,2022-07-23 22:33:08,few clouds,-12.7406,-60.1458,82.62,36,20,5.75
134,Maple Grove,US,2022-07-23 22:31:15,few clouds,45.0725,-93.4558,78.26,77,20,14.97
135,East London,ZA,2022-07-23 22:30:55,broken clouds,-33.0153,27.9116,57.85,65,64,21.72
136,Mansa,IN,2022-07-23 22:34:09,overcast clouds,29.9833,75.3833,84.63,71,91,7.65
137,Clyde River,CA,2022-07-23 22:27:44,clear sky,70.4692,-68.5914,55.63,62,0,6.91
138,Lanxi,CN,2022-07-23 22:34:10,clear sky,29.2195,119.477,82.38,71,1,0.89
